CODIGO_CARRERA,UNI_CODIGO,NOMBRE_CARRERA,NOMBRE_UNIVERSIDAD,REGION_CASA_MATRIZ,%_NOTAS,%_Ranking,%_LENG,%_MATE1,%_MATE2,%_HYCS,%_CIEN,EXIGE_MATE2,PROM_MINIMO_LENMAT,PONDERADO_MINIMO,VACANTES_1SEM,SC_1S,VACANTES_2SEM,SC_2S,RESTRINGE_SEXO,PRUEBA_ESPECIAL,TIPO_PE,PONDERACION_PE,PO_ALTERNATIVA,MAX_POST_UNIV,EXCLUYE_DESDE_PREFERENCIA,CDP_VACANTES_ESPECIALES,CAR_PEDAGOGIA,CAR_MIN_RKG,CAR_SEL_PEDA,PACE,CAR_VACANTES_PACE,REG_CODIGO,VACANTES_GENERO,CAR_CIENCIAS_TECNOLOGIA
49225,49,ADMINISTRACIÃ“N PÃšBLICA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,30,20,0,10.0,10.0,N,458,,40,25.0,,,,N,,,S,21,21,2.0,N,,0,N,0,7,,N
49229,49,PERIODISMO,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,40,10,0,10.0,10.0,N,458,,35,30.0,,,,N,,,S,21,21,2.0,N,,0,N,0,7,,N
49231,49,ARQUITECTURA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,25,25,30,0,10.0,10.0,N,458,,55,20.0,,,,N,,,S,21,21,2.0,N,,0,N,0,7,,N
49301,49,ENFERMERÃA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,20,35,25,0,10.0,10.0,N,458,,90,20.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49302,49,FONOAUDIOLOGÃA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,30,20,0,10.0,10.0,N,458,,40,20.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49303,49,KINESIOLOGÃA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,20,30,30,0,10.0,10.0,N,458,,55,15.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49304,49,NUTRICIÃ“N Y DIETÃ‰TICA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,20,30,30,0,10.0,10.0,N,458,,80,35.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49305,49,ODONTOLOGÃA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,20,30,30,0,,10.0,N,505,505.0,50,15.0,,,,N,,,N,21,21,2.0,N,,0,N,0,9,,N
49306,49,QUÃMICA Y FARMACIA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,25,25,30,0,10.0,10.0,N,458,,80,20.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49307,49,TERAPIA OCUPACIONAL,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,35,15,0,10.0,10.0,N,458,,65,20.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49308,49,ARQUITECTURA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,25,25,30,0,10.0,10.0,N,458,,60,15.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49309,49,INGENIERÃA EN CONSTRUCCIÃ“N,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,20,25,5,10.0,10.0,S,458,,45,10.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,9.0,S
49310,49,INGENIERÃA EN CONTROL DE GESTIÃ“N,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,20,30,0,10.0,10.0,N,458,,35,15.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49311,49,INGENIERÃA COMERCIAL,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,20,30,0,10.0,10.0,N,458,,70,35.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49313,49,DERECHO,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,40,10,0,10.0,10.0,N,458,,110,25.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49314,49,PSICOLOGÃA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,40,10,0,10.0,10.0,N,458,,105,20.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49316,49,TRABAJO SOCIAL,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,40,10,0,10.0,10.0,N,458,,45,20.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49317,49,PEDAGOGÃA EN EDUCACIÃ“N BÃSICA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,25,25,0,10.0,10.0,N,458,,30,15.0,,,,N,,,S,21,21,2.0,S,,1,N,0,9,,N
49318,49,PEDAGOGÃA EN EDUCACIÃ“N FÃSICA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,35,15,0,10.0,10.0,N,458,,30,15.0,,,,N,,,S,21,21,2.0,S,,1,N,0,9,,N
49319,49,PEDAGOGÃA EN EDUCACIÃ“N PARVULARIA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,35,15,0,10.0,10.0,N,458,,30,15.0,,,,N,,,S,21,21,2.0,S,,1,N,0,9,,N
49320,49,PEDAGOGÃA EN INGLÃ‰S,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,40,10,0,10.0,10.0,N,458,,30,20.0,,,,N,,,S,21,21,2.0,S,,1,N,0,9,,N
49321,49,INGENIERÃA CIVIL INDUSTRIAL,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,20,25,5,10.0,10.0,S,458,,45,5.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,9.0,S
49327,49,PEDAGOGÃA EN EDUCACIÃ“N DIFERENCIAL,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,35,15,0,10.0,10.0,N,458,,30,20.0,,,,N,,,S,21,21,2.0,S,,1,N,0,9,,N
49328,49,INGENIERÃA EN ADMINISTRACIÃ“N,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,20,30,0,10.0,10.0,N,458,,35,15.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49330,49,INGENIERÃA CIVIL INFORMÃTICA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,20,25,5,10.0,10.0,S,458,,50,10.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,10.0,S
49332,49,PERIODISMO,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,40,10,0,10.0,10.0,N,458,,35,25.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
49334,49,MEDICINA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,20,35,25,0,,10.0,N,625,625.0,55,20.0,,,,N,,,N,21,21,2.0,N,,0,N,0,9,,N
49335,49,PSICOPEDAGOGÃA,UNIVERSIDAD AUTONOMA DE CHILE,9,10,30,25,25,0,10.0,10.0,N,458,,25,10.0,,,,N,,,S,21,21,2.0,N,,0,N,0,9,,N
50101,50,ARQUITECTURA,UNIVERSIDAD SAN SEBASTIAN,13,10,15,35,30,0,10.0,10.0,N,458,,140,73.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50102,50,DERECHO,UNIVERSIDAD SAN SEBASTIAN,13,10,20,40,10,0,20.0,20.0,N,458,,300,58.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50104,50,INGENIERÃA CIVIL,UNIVERSIDAD SAN SEBASTIAN,13,10,20,20,35,5,10.0,10.0,S,458,,30,,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,S
50105,50,INGENIERÃA CIVIL EN MINAS,UNIVERSIDAD SAN SEBASTIAN,13,10,25,10,40,5,10.0,10.0,S,458,,80,30.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,S
50106,50,INGENIERÃA CIVIL INDUSTRIAL,UNIVERSIDAD SAN SEBASTIAN,13,10,25,15,35,5,10.0,10.0,S,458,,100,24.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,S
50107,50,INGENIERÃA CIVIL INFORMÃTICA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,10,40,5,10.0,10.0,S,458,,90,20.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,S
50108,50,INGENIERÃA COMERCIAL,UNIVERSIDAD SAN SEBASTIAN,13,20,25,15,30,0,10.0,10.0,N,458,,150,,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50110,50,ODONTOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,20,20,20,30,0,10.0,10.0,N,458,,200,81.0,,,,N,,,S,21,21,,N,,0,N,0,8,,N
50112,50,PEDAGOGÃA EN EDUCACIÃ“N DIFERENCIAL,UNIVERSIDAD SAN SEBASTIAN,13,20,30,25,15,0,10.0,10.0,N,458,,60,,,,,N,,,S,21,21,1.0,S,,1,N,0,8,,N
50115,50,PEDAGOGÃA EN INGLÃ‰S,UNIVERSIDAD SAN SEBASTIAN,13,20,30,25,15,0,10.0,10.0,N,458,,60,,,,,N,,,S,21,21,1.0,S,,1,N,0,8,,N
50116,50,LICENCIATURA EN HISTORIA,UNIVERSIDAD SAN SEBASTIAN,13,10,10,40,30,0,10.0,10.0,N,458,,30,,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50119,50,BACHILLERATO EN CIENCIAS DE LA SALUD,UNIVERSIDAD SAN SEBASTIAN,13,20,25,15,30,0,10.0,10.0,N,458,,220,125.0,,,,N,,,S,21,21,,N,,0,N,0,8,,N
50121,50,ENFERMERÃA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,40,20,0,10.0,10.0,N,458,,240,130.0,,,,N,,,S,21,21,,N,,0,N,0,8,,N
50122,50,FONOAUDIOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,20,30,30,10,0,10.0,10.0,N,458,,80,35.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50124,50,KINESIOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,15,20,35,20,0,10.0,10.0,N,458,,120,43.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50125,50,MEDICINA,UNIVERSIDAD SAN SEBASTIAN,13,10,30,20,30,0,,10.0,N,500,,110,22.0,,,,N,,,N,21,21,,N,,0,N,0,8,,N
50126,50,NUTRICIÃ“N Y DIETÃ‰TICA,UNIVERSIDAD SAN SEBASTIAN,13,15,30,35,10,0,10.0,10.0,N,458,,100,49.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50127,50,OBSTETRICIA,UNIVERSIDAD SAN SEBASTIAN,13,10,10,35,35,0,10.0,10.0,N,458,,120,25.0,,,,N,,,S,21,21,,N,,0,N,0,8,,N
50128,50,PSICOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,40,20,0,10.0,10.0,N,458,,250,97.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50129,50,QUÃMICA Y FARMACIA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,25,30,0,10.0,10.0,N,458,,190,38.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50130,50,TECNOLOGÃA MÃ‰DICA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,30,25,0,15.0,15.0,N,458,,200,55.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50131,50,TERAPIA OCUPACIONAL,UNIVERSIDAD SAN SEBASTIAN,13,10,30,30,20,0,10.0,10.0,N,458,,160,44.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50132,50,ADMINISTRACIÃ“N PÃšBLICA,UNIVERSIDAD SAN SEBASTIAN,13,10,10,40,10,0,30.0,30.0,N,458,,60,,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50133,50,MEDICINA VETERINARIA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,30,20,0,20.0,20.0,N,458,,175,45.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50135,50,ANIMACIÃ“N DIGITAL,UNIVERSIDAD SAN SEBASTIAN,13,10,25,35,20,0,10.0,10.0,N,458,,120,,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50137,50,BACHILLERATO EN HUMANIDADES Y CIENCIAS SOCIALES,UNIVERSIDAD SAN SEBASTIAN,13,10,10,40,30,0,10.0,10.0,N,458,,50,,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50138,50,LICENCIATURA EN FILOSOFÃA,UNIVERSIDAD SAN SEBASTIAN,13,10,10,40,30,0,10.0,10.0,N,458,,30,,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50140,50,LICENCIATURA EN LITERATURA,UNIVERSIDAD SAN SEBASTIAN,13,10,10,40,30,0,10.0,10.0,N,458,,30,,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,N
50142,50,GEOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,20,30,5,10.0,10.0,S,458,,60,20.0,,,,N,,,S,21,21,1.0,N,,0,N,0,8,,S
50201,50,ARQUITECTURA,UNIVERSIDAD SAN SEBASTIAN,13,10,20,30,30,0,10.0,10.0,N,458,,75,20.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50202,50,DERECHO,UNIVERSIDAD SAN SEBASTIAN,13,10,20,40,10,0,20.0,20.0,N,458,,150,,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50206,50,INGENIERÃA CIVIL INDUSTRIAL,UNIVERSIDAD SAN SEBASTIAN,13,10,25,15,35,5,10.0,10.0,S,458,,70,20.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,S
50207,50,INGENIERÃA CIVIL INFORMÃTICA,UNIVERSIDAD SAN SEBASTIAN,13,10,25,10,40,5,10.0,10.0,S,458,,70,20.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,S
50208,50,INGENIERÃA COMERCIAL,UNIVERSIDAD SAN SEBASTIAN,13,20,25,15,30,0,10.0,10.0,N,458,,120,,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50210,50,ODONTOLOGÃA,UNIVERSIDAD SAN SEBASTIAN,13,20,20,20,30,0,10.0,10.0,N,458,,80,23.0,,,,N,,,S,21,21,1.0,N,,0,N,0,10,,N
50212,50,PEDAGOGÃA EN EDUCACIÃ“N DIFERENCIAL,UNIVERSIDAD SAN SEBASTIAN,13,20,30,25,15,0,10.0,10.0,N,458,,50,,,,,N,,,S,21,21,1.0,S,,1,N,0,10,,N
