AGNO,RBD,DGV_RBD,NOM_RBD,TIPO_SOST,COD_REG_RB,NOM_REG_RB,COD_PRO_RB,COD_COM_RB,NOM_COM_RB,COD_DEPROV,NOM_DEPROV,TIPO_DEPEN,DIRECCION,NUMERO,REFERENCIA,LATITUD,LONGITUD,MAT_PARV,MAT_BAS_RE,MAT_BAS_AD,MAT_ESP,MAT_MHC_RE,MAT_MHC_AD,MAT_MTP_RE,MAT_MTP_AD,MAT_TOTAL,MAT_HOM_TO,MAT_MUJ_TO,MAT_SI_TOT,CUR_SIM_TO,CUR_COMB_T
2021,1755,8,COLEGIO ANA MARIA JANER,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,LAS REJAS,881.0,"IGLESIA DE PIEDRA, MIRAFLORES ALTO",-33.024479,-71.527588,110.0,776.0,0.0,0.0,174.0,0.0,226.0,0.0,1286.0,565.0,721.0,0.0,38.0,0.0
2021,40374,1,COLEGIO ESPECIAL ESTRELLA DE LUZ,1.0,5,VALPO,58,5802,LIMACHE,51,QUILLOTA,2.0,PASAJE 2,1030.0,POR CALLE ANDRES BELLO,-33.02443,-71.25374,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,28.0,19.0,9.0,0.0,7.0,0.0
2021,14225,5,INSTITUTO DE CAPACITACION TEC.PROF.ITPSA,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,ETCHEVERS,210.0,EDIFICIO PANADERÍA VIALE DEPARTAMENTO 201 Y 202,-33.02413,-71.55543,0.0,0.0,11.0,0.0,0.0,108.0,0.0,0.0,119.0,70.0,49.0,0.0,7.0,0.0
2021,14284,0,LICEO RENE DESCARTES,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,VISTA HERMOSA,19.0,INGRESO SE REALIZA POR CALLE VISTA HERMOSA AL LADO DE TIENDA DE LAMPARAS EGLOS.  CERRO CASTILLO,-33.024101,-71.562759,0.0,0.0,0.0,0.0,367.0,0.0,0.0,0.0,367.0,113.0,254.0,0.0,11.0,0.0
2021,14747,8,JARDIN INFANTIL MI PEQUENO MUNDO,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,AVENIDA FREI,311.0,"AVENIDA FREI,LIMITE CON MIRAFLORES ALTO, FRENTE A SUPERMERCADO. AMPLIACION VILLA DULCE, VIÑA DEL MAR.",-33.02379,-71.50999,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,26.0,32.0,0.0,0.0,2.0
2021,1677,2,ESCUELA BASICA REPUBLICA DEL ECUADOR,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,1.0,ETCHEVERS,115.0,ETCHEVERS 115 VIÑA DEL MAR,-33.023701,-71.55555,56.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,512.0,0.0,19.0,0.0
2021,14439,8,INSTITUTO BALDOR,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,3.0,ETCHEVERS,104.0,,-33.02361,-71.55527,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,23.0,11.0,0.0,6.0,0.0
2021,14541,6,COLEGIO PATRICIO LYNCH,1.0,5,VALPO,51,5101,VALPARAÍSO,53,VALPARAÍSO,2.0,CAMILO HENRIQUEZ,173.0,CALETA EL MEMBRILLO FRENTE A LA ESCUELA NAVAL.,-33.023579,-71.636269,0.0,264.0,0.0,0.0,138.0,0.0,0.0,0.0,402.0,196.0,206.0,0.0,12.0,0.0
2021,14878,4,ESCUELA DE PARVULOS EBENEZERITO,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,CALLE UNO,130.0,"FRENTE AL LICEO INDUSTRIAL,  MIRAFLORES",-33.02349,-71.506874,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,15.0,26.0,0.0,2.0,0.0
2021,14654,4,NUEVO COLEGIO CAMBRIDGE,1.0,5,VALPO,51,5109,VIÑA DEL MAR,53,VALPARAÍSO,2.0,4 ORIENTE,176.0,ENTRE DOS Y TRES NORTE,-33.02334,-71.543335,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,184.0,97.0,87.0,0.0,6.0,0.0
