ID_aux,RBD,COD_ENS,GRUPO_DEPENDENCIA,RAMA_EDUCACIONAL,SITUACION_EGRESO,CODIGO_REGION,CODIGO_COMUNA,PROMEDIO_NOTAS,PORC_SUP_NOTAS,PTJE_NEM,PTJE_RANKING,CLEC_REG_ACTUAL,MATE1_REG_ACTUAL,MATE2_REG_ACTUAL,HCSOC_REG_ACTUAL,CIEN_REG_ACTUAL,MODULO_REG_ACTUAL,CLEC_INV_ACTUAL,MATE1_INV_ACTUAL,MATE2_INV_ACTUAL,HCSOC_INV_ACTUAL,CIEN_INV_ACTUAL,MODULO_INV_ACTUAL,CLEC_REG_ANTERIOR,MATE1_REG_ANTERIOR,MATE2_REG_ANTERIOR,HCSOC_REG_ANTERIOR,CIEN_REG_ANTERIOR,MODULO_REG_ANTERIOR,CLEC_INV_ANTERIOR,MATE1_INV_ANTERIOR,MATE2_INV_ANTERIOR,HCSOC_INV_ANTERIOR,CIEN_INV_ANTERIOR,MODULO_INV_ANTERIOR,RINDIO_PROCESO_ANTERIOR,RINDIO_PROCESO_ACTUAL
id_1872918077226,2488,363,4,H2,1,6,6303,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_1832918173208,15746,363,2,H2,1,6,6101,6.4,10,830,872,477,539,0,0,381,BIO,,,,,,,,,,,,,,,,,,,0,1
id_1990919579038,11286,363,4,H2,1,6,6301,6.37,10,821,826,756,567,0,628,393,BIO,,,,,,,,,,,,,,,,,,,0,1
id_1573915877376,15746,363,2,H2,1,6,6101,6.4,10,830,835,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4907949570724,11246,363,3,H2,1,6,6115,5.9,30,689,715,583,672,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4911949571130,2377,363,3,H2,1,6,6112,6.0,40,717,784,484,631,0,585,0,,,,,,,,,,,,,,,,,,,,0,1
id_4597945879798,15746,363,2,H2,1,6,6101,5.6,10,604,604,440,421,0,486,0,,,,,,,,,,,,,,,,,,,,0,1
id_4700947170075,2377,363,3,H2,1,6,6112,6.25,10,788,919,455,495,0,418,0,,,,,,,,,,,,,,,,,,,,0,1
id_4237942073774,15777,363,2,H2,1,6,6101,6.7,10,915,1000,0,421,0,406,0,,,,,,,,,,,,,,,,,,,,0,1
id_3132931373262,15732,363,2,H2,1,6,6101,6.65,10,901,1000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4131941673145,11286,663,4,T3,1,6,6301,6.63,10,895,1000,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4964949876478,2422,363,3,H2,1,6,6107,5.57,40,595,595,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4957949975799,2329,363,3,H2,1,6,6117,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4791947379105,11246,363,3,H2,1,6,6115,0.0,0,0,0,555,553,409,585,0,,,,,,,,,,,,,,,,,,,,0,1
id_4254942875414,11284,363,3,H2,1,6,6101,5.13,80,461,461,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4231942973181,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4146941674620,15759,363,3,H2,1,6,6108,5.5,60,577,577,492,486,409,508,402,BIO,,,,,,,,,,,,,,,,,,,0,1
id_4904949670489,2549,563,3,T2,1,6,6310,5.47,50,567,691,424,393,0,364,0,,,,,,,,,,,,,,,,,,,,0,1
id_4135941673523,2549,563,3,T2,1,6,6310,5.6,30,601,662,455,526,0,406,0,,,,,,,,,,,,,,,,,,,,0,1
id_4441944574166,15759,363,3,H2,1,6,6108,6.75,10,929,949,525,460,0,463,344,BIO,,,,,,,,,,,,,,,,,,,0,1
id_4343943474335,15759,363,3,H2,1,6,6108,6.35,10,816,830,500,508,0,545,409,BIO,,,,,,,,,,,,,,,,,,,0,1
id_4019940871990,11287,363,3,H2,1,6,6104,5.27,50,505,505,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4312943571299,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_4675946577501,2549,563,3,T2,1,6,6310,5.97,10,707,824,387,393,0,463,0,,,,,,,,,,,,,,,,,,,,0,1
id_4654946575450,11246,363,3,H2,1,6,6115,6.25,10,788,835,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_2162921876226,15777,363,2,H2,1,6,6101,5.55,50,590,609,410,432,0,432,0,,,,,,,,,,,,,,,,,,,,0,1
id_2556925575628,11246,363,3,H2,1,6,6115,5.3,60,515,515,424,421,0,0,393,BIO,,,,,,,,,,,,,,,,,,,0,1
id_2333923573344,2377,363,3,H2,1,6,6112,0.0,0,0,0,477,502,0,406,0,,,,,,,,,,,,,,,,,,,,0,1
id_2155921675592,15777,563,2,T2,1,6,6101,4.87,70,376,376,440,421,0,364,0,,,,,,,,,,,,,,,,,,,,0,1
id_2723927572360,15777,363,2,H2,1,6,6101,4.65,80,307,307,397,460,0,447,0,,,,,,,,0,0,0,0,0,,,,,,,,0,1
id_2457924975777,2329,363,3,H2,1,6,6117,5.6,40,604,612,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_2450924575063,2329,363,3,H2,1,6,6117,5.6,40,604,606,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_2426924372663,2422,363,3,H2,1,6,6107,5.8,30,661,682,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_2437924073731,2422,363,3,H2,1,6,6107,5.83,30,668,673,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_2345923974517,15777,563,2,T2,1,6,6101,5.1,60,450,450,440,474,0,418,0,,,,,,,,,,,,,,,,,,,,0,1
id_2315923571566,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_2006920570684,2549,563,3,T2,1,6,6310,6.43,10,837,1000,410,365,409,397,383,TEC,,,,,,,,,,,,,,,,,,,0,1
id_2063920376396,15759,363,3,H2,1,6,6108,5.43,70,556,556,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_2091920079192,15777,363,2,H2,1,6,6101,5.15,60,468,468,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_2011920071124,2411,363,3,H2,1,6,6105,5.65,40,618,664,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_3890938279084,2411,363,3,H2,1,6,6105,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_3949939874948,11246,363,3,H2,1,6,6115,5.5,40,577,577,576,495,0,432,0,,,,,,,,,,,,,,,,,,,,0,1
id_3954939575429,2377,363,3,H2,1,6,6112,5.8,70,661,796,299,432,0,364,0,,,,,,,,,,,,,,,,,,,,0,1
id_3585935178510,11284,363,3,H2,1,6,6101,5.4,60,547,547,590,595,0,607,0,,,,,,,,,,,,,,,,,,,,0,1
id_3484934878484,40115,363,2,H2,1,6,6301,6.85,10,958,1000,477,595,0,406,409,BIO,,,,,,,,,,,,,,,,,,,0,1
id_3483934878323,15777,563,2,T2,1,6,6101,5.3,60,513,513,455,474,0,331,0,,,,,,,,,,,,,,,,,,,,0,1
id_3449934574915,15777,363,2,H2,1,6,6101,6.2,10,774,840,424,421,0,432,0,,,,,,,,,,,,,,,,,,,,0,1
id_3467934376720,2549,563,3,T2,1,6,6310,5.17,70,472,499,511,495,0,517,0,,,,,,,,,,,,,,,,,,,,0,1
id_3279932077905,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_3342933974243,15777,363,2,H2,1,6,6101,5.85,30,675,715,484,486,0,0,393,BIO,,,,,,,,,,,,,,,,,,,0,1
id_3320933972022,11246,363,3,H2,1,6,6115,5.2,60,483,483,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_3319933271958,15777,563,2,T2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,,,0,1
id_3038930373826,15777,363,2,H2,1,6,6101,6.35,10,816,893,284,432,0,432,0,,,,,,,,,,,,,,,,,,,,0,1
id_3617936971742,15777,563,2,T2,1,6,6101,4.83,70,364,364,492,412,0,397,0,,,,,,,,,,,,,,,,,,,,0,1
id_0849908474900,15777,563,2,T2,1,6,6101,5.4,50,545,545,333,421,0,377,0,,,,,,,,,,,,,,,,,,,,0,1
id_0526905872616,2377,363,3,H2,1,6,6112,6.0,40,717,751,492,393,0,387,0,,,,,,,,,,,,,,,,,,,,0,1
id_0582905578248,15777,363,2,H2,1,6,6101,4.75,80,339,346,284,403,0,447,0,,,,,,,,0,0,0,0,0,,,,,,,,0,1
id_0518905471808,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_0444904974499,2329,363,3,H2,1,6,6117,5.85,30,675,675,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_0400904470092,2377,363,3,H2,1,6,6112,6.0,40,717,784,477,460,0,348,0,,,,,,,,,,,,,,,,,,,,0,1
id_0235902173584,15732,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_0398903879826,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_0354903575426,2377,363,3,H2,1,6,6112,6.15,10,760,865,316,474,0,397,0,,,,,,,,,,,,,,,,,,,,0,1
id_0377903577766,15759,363,3,H2,1,6,6108,6.1,10,745,751,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_0341903574181,40115,363,2,H2,1,6,6301,6.8,10,943,990,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_0628906872807,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_0507905770752,15777,563,2,T2,1,6,6101,6.0,20,715,779,500,516,0,0,381,BIO,,,,,,,,,,,,,,,,,,,0,1
id_0691906679175,2488,363,4,H2,1,6,6303,5.65,10,618,666,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_0063900076334,15777,563,2,T2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_0620906072045,15777,563,2,T2,1,6,6101,6.17,20,763,935,555,495,0,406,0,,,,,,,,,,,,,,,,,,,,0,1
id_0662906076241,2549,563,3,T2,1,6,6310,5.55,40,587,617,484,502,0,493,0,,,,,,,,,,,,,,,,,,,,0,1
id_6865968876594,2549,563,3,T2,1,6,6310,5.13,80,459,462,440,393,0,397,328,TEC,,,,,,,,,,,,,,,,,,,0,1
id_6863968976387,15759,363,3,H2,1,6,6108,5.75,40,646,651,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6810968171043,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6505965970576,15777,563,2,T2,1,6,6101,5.87,30,677,748,540,446,0,0,458,BIO,,,,,,,,,,,,,,,,,,,0,1
id_6547965774779,15535,363,3,H2,1,6,6115,5.1,90,451,451,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6570965277079,20498,363,2,H2,1,6,6101,5.43,40,556,568,740,0,382,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6512965271207,11287,363,3,H2,1,6,6104,5.7,30,632,654,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6547965374781,40115,363,2,H2,1,6,6301,6.75,10,929,975,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6761967376168,2377,363,3,H2,1,6,6112,6.15,10,760,865,511,579,0,397,0,,,,,,,,,,,,,,,,,,,,0,1
id_6762967076235,11246,363,3,H2,1,6,6115,6.05,20,731,766,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6385963578566,2411,363,3,H2,1,6,6105,6.45,10,844,966,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6329963572931,2549,563,3,T2,1,6,6310,5.2,70,481,482,364,502,0,286,0,,,,,,,,,,,,,,,,,,,,0,1
id_6325963572584,15777,563,2,T2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6051960475160,16840,363,2,H2,1,6,6112,5.6,30,604,624,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6072960477242,11284,363,3,H2,1,6,6101,6.03,20,725,738,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6019960471973,2549,563,3,T2,1,6,6310,5.8,20,658,779,159,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6656966875618,2422,363,3,H2,1,6,6107,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_8814588571489,20498,363,2,H2,1,6,6101,6.35,10,816,1000,576,601,396,486,409,BIO,,,,,,,,,,,,,,,,,,,0,1
id_8834588573405,15759,363,3,H2,1,6,6108,5.37,80,537,537,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_8599585979977,2422,363,3,H2,1,6,6107,6.3,20,802,849,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_8741587274163,20452,363,2,H2,1,6,6101,5.75,40,646,647,477,516,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_8707587270737,2377,363,3,H2,1,6,6112,6.0,40,717,784,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_8313583371332,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_6093960479323,11284,363,3,H2,1,6,6101,5.5,50,577,577,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,1
id_8220582972080,15777,363,2,H2,1,6,6101,0.0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,,,,,,,,0,1
